symbol,yf_ticker,company,sector
IIG,IIG.BK,I&I GROUP PUBLIC COMPANY LIMITED,-
III,III.BK,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,Transportation & Logistics
ILINK,ILINK.BK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,Information & Communication Technology
ILM,ILM.BK,INDEX LIVING MALL PUBLIC COMPANY LIMITED,Commerce
IMH,IMH.BK,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED,-
IMPACT,IMPACT.BK,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
IND,IND.BK,INDEX INTERNATIONAL GROUP PUBLIC COMPANY LIMITED,-
INET,INET.BK,INTERNET THAILAND PUBLIC COMPANY LIMITED,Information & Communication Technology
INETREIT,INETREIT.BK,INET FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
INGRS,INGRS.BK,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED,Automotive
INOX,INOX.BK,POSCO-THAINOX PUBLIC COMPANY LIMITED,Steel and Metal Products
INSET,INSET.BK,INFRASET PUBLIC COMPANY LIMITED,Information & Communication Technology
INSURE,INSURE.BK,INDARA INSURANCE PUBLIC COMPANY LIMITED,Insurance
IP,IP.BK,INTER PHARMA PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals
IRC,IRC.BK,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,Automotive
IRCP,IRCP.BK,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",-
IROYAL,IROYAL.BK,Interroyal Engineering Public Company Limited,-
IRPC,IRPC.BK,IRPC PUBLIC COMPANY LIMITED,Energy & Utilities
ISSARA,ISSARA.BK,ISSARA REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
IT,IT.BK,IT CITY PUBLIC COMPANY LIMITED,Commerce
ITC,ITC.BK,i-Tail Corporation Public Company Limited,Food & Beverage
ITD,ITD.BK,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED,Construction Services
ITEL,ITEL.BK,INTERLINK TELECOM PUBLIC COMPANY LIMITED,Information & Communication Technology
ITNS,ITNS.BK,INTERNATIONAL NETWORK SYSTEM PUBLIC COMPANY LIMITED,-
ITTHI,ITTHI.BK,ITTHIRIT NICE CORPORATION PUBLIC COMPANY LIMITED,-
IVF,IVF.BK,INSPIRE IVF Public Company Limited,-
IVL,IVL.BK,INDORAMA VENTURES PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
J,J.BK,JAS ASSET PUBLIC COMPANY LIMITED,Property Development
JAK,JAK.BK,JAKPAISAN ESTATE PUBLIC COMPANY LIMITED,-
JAS,JAS.BK,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED,Information & Communication Technology
JCK,JCK.BK,JCK INTERNATIONAL PUBLIC COMPANY LIMITED,Property Development
JCT,JCT.BK,JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals
JDF,JDF.BK,JD Food Public Company Limited,Food & Beverage
JMART,JMART.BK,JAYMART GROUP HOLDINGS PUBLIC COMPANY LIMITED,Information & Communication Technology
JMT,JMT.BK,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,Finance & Securities
JPARK,JPARK.BK,JENKONGKLAI PUBLIC COMPANY LIMITED,-
JR,JR.BK,J.R.W. UTILITY PUBLIC COMPANY LIMITED,Construction Services
JSP,JSP.BK,JSP PHARMACEUTICAL MANUFACTURING (THAILAND) PUBLIC COMPANY LIMITED,-
JTS,JTS.BK,JASMINE TECHNOLOGY SOLUTION PUBLIC COMPANY LIMITED,Information & Communication Technology
JUBILE,JUBILE.BK,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED,-
K,K.BK,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED,-
KAMART,KAMART.BK,KARMARTS PUBLIC COMPANY LIMITED,Commerce
KASET,KASET.BK,THAI HA PUBLIC COMPANY LIMITED,-
KBANK,KBANK.BK,KASIKORNBANK PUBLIC COMPANY LIMITED,Banking
KBS,KBS.BK,KHONBURI SUGAR PUBLIC COMPANY LIMITED,Food & Beverage
KBSPIF,KBSPIF.BK,KHONBURI SUGAR POWER PLANT INFRASTRUCTURE FUND,Energy & Utilities
KC,KC.BK,K.C. PROPERTY PUBLIC COMPANY LIMITED,Property Development
KCAR,KCAR.BK,KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED,Finance & Securities
KCC,KCC.BK,Knight Club Capital Holding Public Company Limited,-
KCE,KCE.BK,KCE ELECTRONICS PUBLIC COMPANY LIMITED,Electronic Components
KCG,KCG.BK,KCG CORPORATION PUBLIC COMPANY LIMITED,Food & Beverage
KCM,KCM.BK,K.C. METALSHEET PUBLIC COMPANY LIMITED,-
KDH,KDH.BK,THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED,Health Care Services
KGEN,KGEN.BK,KING GEN PUBLIC COMPANY LIMITED,-
KGI,KGI.BK,KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,Finance & Securities
KIAT,KIAT.BK,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED,Transportation & Logistics
KISS,KISS.BK,ROJUKISS INTERNATIONAL PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals
KJL,KJL.BK,KIJCHAROEN ENGINEERING ELECTRIC PUBLIC COMPANY LIMITED,-
KK,KK.BK,K&K SUPERSTORE SOUTHERN PUBLIC COMPANY LIMITED,-
KKC,KKC.BK,KULTHORN KIRBY PUBLIC COMPANY LIMITED,Industrial Materials & Machinery
KKP,KKP.BK,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,Banking
KLINIQ,KLINIQ.BK,The Klinique Medical Clinic Public Company Limited,Health Care Services
KOOL,KOOL.BK,CL VENTURE PUBLIC COMPANY LIMITED,-
KPNREIT,KPNREIT.BK,KPN Real Estate Investment Trust,Property Fund & REITs
KSL,KSL.BK,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,Food & Beverage
KTB,KTB.BK,KRUNG THAI BANK PUBLIC COMPANY LIMITED,Banking
KTBSTMR,KTBSTMR.BK,KTBST MIXED FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
KTC,KTC.BK,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,Finance & Securities
KTIS,KTIS.BK,KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED,Food & Beverage
KTMS,KTMS.BK,KT Medical Service Public Company Limited,-
KUMWEL,KUMWEL.BK,KUMWELL CORPORATION PUBLIC COMPANY LIMITED,-
KUN,KUN.BK,VILLA KUNALAI PUBLIC COMPANY LIMITED,Property Development
KWC,KWC.BK,KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED,Transportation & Logistics
KWI,KWI.BK,KWI PUBLIC COMPANY LIMITED,Insurance
KWM,KWM.BK,K. W. METAL WORK PUBLIC COMPANY LIMITED,-
KYE,KYE.BK,KANG YONG ELECTRIC PUBLIC COMPANY LIMITED,Home & Office Products
L&E,L&E.BK,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED,Home & Office Products
LALIN,LALIN.BK,LALIN PROPERTY PUBLIC COMPANY LIMITED,Property Development
LANNA,LANNA.BK,THE LANNA RESOURCES PUBLIC COMPANY LIMITED,Energy & Utilities
LDC,LDC.BK,LDC DENTAL PUBLIC COMPANY LIMITED,-
LEE,LEE.BK,LEE FEED MILL PUBLIC COMPANY LIMITED,Agribusiness
LEO,LEO.BK,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED,-
LH,LH.BK,LAND AND HOUSES PUBLIC COMPANY LIMITED,Property Development
LHFG,LHFG.BK,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking
LHHOTEL,LHHOTEL.BK,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
LHK,LHK.BK,LOHAKIT METAL PUBLIC COMPANY LIMITED,Steel and Metal Products
LHRREIT,LHRREIT.BK,Land and Houses Residential FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
LHSC,LHSC.BK,LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs
LIT,LIT.BK,LEASE IT PUBLIC COMPANY LIMITED,-
LOXLEY,LOXLEY.BK,LOXLEY PUBLIC COMPANY LIMITED,Commerce
LPH,LPH.BK,LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
LPN,LPN.BK,L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED,Property Development
LRH,LRH.BK,LAGUNA RESORTS & HOTELS PUBLIC COMPANY LIMITED,Tourism & Leisure
LST,LST.BK,LAM SOON (THAILAND) PUBLIC COMPANY LIMITED,Food & Beverage
LTMH,LTMH.BK,LTMH Public Company Limited,-
LTS,LTS.BK,Light Up Total Solution Public Company Limited,-
LUXF,LUXF.BK,LUXURY REAL ESTATE INVESTMENT FUND,Property Fund & REITs
M,M.BK,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED,Food & Beverage
M-CHAI,M-CHAI.BK,MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
M-PAT,M-PAT.BK,MFC PATONG HERITAGE PROPERTY FUND,Property Fund & REITs
