symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
SCGP,SCGP.BK,SCG PACKAGING PUBLIC COMPANY LIMITED,Packaging,30.0,True,7,93.0,False,25.88,32.0,6.67,
WICE,WICE.BK,WICE LOGISTICS PUBLIC COMPANY LIMITED,Transportation & Logistics,3.32,True,7,87.0,False,25.88,3.62,9.04,
CSS,CSS.BK,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED,Commerce,1.01,True,7,74.0,False,25.88,1.07,5.86,
AFC,AFC.BK,ASIA FIBER PUBLIC COMPANY LIMITED,Fashion,4.7,True,7,79.0,False,25.83,4.9,4.26,
TTA,TTA.BK,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,Transportation & Logistics,5.75,True,7,78.0,False,25.83,6.0,4.35,
TASCO,TASCO.BK,TIPCO ASPHALT PUBLIC COMPANY LIMITED,Construction Materials,16.8,True,7,76.0,False,25.83,17.3,2.98,
SMT,SMT.BK,STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,Electronic Components,6.0,True,7,99.0,False,25.0,4.2,-30.0,
KKP,KKP.BK,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,Banking,119.0,True,7,96.0,False,25.0,114.5,-3.78,
PSL,PSL.BK,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED,Transportation & Logistics,10.3,True,7,92.0,False,25.0,10.5,1.94,
TNDT,TNDT.BK,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,-,0.19,True,7,91.0,False,25.0,0.15,-21.05,
QTC,QTC.BK,QTC ENERGY PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,5.3,True,7,89.0,False,25.0,4.72,-10.94,
TERA,TERA.BK,Terabyte Plus Public Company Limited,-,1.39,True,7,89.0,False,25.0,1.25,-9.72,
BBGI,BBGI.BK,BBGI PUBLIC COMPANY LIMITED,Energy & Utilities,6.0,True,7,97.0,False,24.38,6.3,5.0,
SPVI,SPVI.BK,S P V I PUBLIC COMPANY LIMITED,-,3.76,True,7,89.0,False,24.38,3.86,2.66,
PRM,PRM.BK,PRIMA MARINE PUBLIC COMPANY LIMITED,Transportation & Logistics,9.5,True,7,87.0,False,24.38,9.89,4.12,
PROUD,PROUD.BK,PROUD REAL ESTATE PUBLIC COMPANY LIMITED,Property Development,1.21,True,7,83.0,False,24.38,1.24,2.48,
TPLAS,TPLAS.BK,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,-,1.16,True,7,73.0,False,24.38,1.22,5.17,
ADB,ADB.BK,APPLIED DB PUBLIC COMPANY LIMITED,-,1.2,True,7,98.0,False,24.17,1.28,6.67,
CFRESH,CFRESH.BK,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,Food & Beverage,1.84,True,7,98.0,False,24.17,1.96,6.52,
